grp_id,name,price
1,Riceland American Jazmine Rice,1.99
2,Caress Velvet Bliss Ultra Silkening Beauty Bar - 6 Ct,2.75
3,Earth's Best Organic Fruit Yogurt Smoothie Mixed Berry,3.99
4,Boar's Head Sliced White American Cheese - 120 Ct,4.99
5,Back To Nature Gluten Free White Cheddar Rice Thin Crackers,5.99
6,Sally Hansen Nail Color Magnetic 903 Silver Elements,6.99
7,Twinings Of London Classics Lady Grey Tea - 20 Ct,7.99
8,Lea & Perrins Marinade In-a-bag Cracked Peppercorn,9.99
9,Van De Kamp's Fillets Beer Battered - 10 Ct,8.99
10,Ahold Cocoa Almonds,12.99
11,Honest Tea Peach White Tea,13.01
12,Mueller Sport Care Basic Support Level Medium Elastic Knee Support,15.66
13,Garnier Nutritioniste Moisture Rescue Fresh Cleansing Foam,25
14,Pamprin Maximum Strength Multi-symptom Menstrual Pain Relief,34.54
15,Suave Naturals Moisturizing Body Wash Creamy Tropical Coconut,37
16,Burt's Bees Daily Moisturizing Cream Sensitive,1.99
17,Ducal Refried Red Beans,2.75
18,Scotch Removable Clear Mounting Squares - 35 Ct,3.99
19,Careone Family Comb Set - 8 Ct,4.99
20,Plums Black,5.99
21,Doctor's Best Best Curcumin C3 Complex 1000mg Tablets - 120 Ct,6.99
22,Betty Crocker Twin Pack Real Potatoes Scalloped,7.99
23,Reese Mandarin Oranges Segments In Light Syrup,9.99
24,Smart Living Charcoal Lighter Fluid,8.99
25,Hood Latte Iced Coffee Drink Vanilla Latte,12.99
26,Triaminic Syrup Night Time Cold & Cough Grape 4oz,13.01
27,Morton Kosher Salt Coarse,15.66
28,Guava,25
29,Heinz Tomato Ketchup - 2 Ct,34.54
30,"Petmate Booda Bones Steak, Bacon & Chicken Flavors - 9 Ct",37
31,Zhena's Gypsy Tea Herbal Red Tea Sachets Fire Light Chai - 22 Ct,1.99
32,Barefoot Pinot Grigio  187,2.75
33,Tomy The First Years Gumdrop Orthodontic Pacifiers 6m+ - 2ct,3.99
34,Halls Menthol Cough Suppresant/oral Anesthetic Drops Honey-lemon - 30 Ct,4.99
35,Nature's Way Forskohlii - 60 Ct,5.99
36,Rice Bran Gluten Free Dinner Rolls Plain,6.99
37,Nakano Seasoned Rice Vinegar Original,7.99
38,"Sundown Naturals Essential Electrolytes Tropical Punch, Watermelon And Fruit Punch Gummies - 60 Ct",9.99
39,Munchies Sandwich Crackers Cheddar Cheese On Golden Toast Crackers - 8 Pk,8.99
40,Amy's Light & Lean Spaghetti Italiano,12.99
41,P.f. Chang's Home Menu Meal For Two Beef With Broccoli,13.01
42,Mom's Best Naturals Cereal Toasted Cinnamon Squares,15.66
43,Ferrara Vanilla Syrup,25
44,Elmer's Board Mate Dual Tip Glue Pen,34.54
45,Kellogg's Disney Pixar Cars 2 Cereal,37
46,Pizza Sauce,1.99
