LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),LOCATION Latitude : ,LOCATION Longitude : ,YYYY-MO-DD HH-MI-SS_SSS,Annotation,,
0.6472,0.4233,-0.7625,49.277264,7.033313,2019-05-29 11:59:46:016,1,,
0.6472,0.4233,-0.7625,49.277264,7.033313,2019-05-29 11:59:46:116,,,
1.1702,2.6303,-1.95,49.277264,7.033313,2019-05-29 11:59:46:215,,,
0.331,2.5042,4.2824,49.277264,7.033313,2019-05-29 11:59:46:316,,,
-1.0679,1.6781,1.2117,49.277264,7.033313,2019-05-29 11:59:46:416,,,
-1.3465,-2.1969,0.8175,49.277264,7.033313,2019-05-29 11:59:46:516,,,
-0.6184,-0.2711,-3.9509,49.277264,7.033313,2019-05-29 11:59:46:615,,,
1.3273,0.0597,-2.7521,49.277264,7.033313,2019-05-29 11:59:46:716,,,
5.3741,3.7083,2.6996,49.277264,7.033313,2019-05-29 11:59:46:816,,,
0.6583,-1.1574,5.0887,49.277264,7.033313,2019-05-29 11:59:46:916,,,
-0.1574,-2.774,1.1056,49.277264,7.033313,2019-05-29 11:59:47:016,,,
-0.4086,-3.3224,-1.3808,49.277264,7.033313,2019-05-29 11:59:47:116,,,
-0.5325,-2.5953,0.776,49.277264,7.033313,2019-05-29 11:59:47:216,,,
-0.9199,-1.9044,1.8963,49.277264,7.033313,2019-05-29 11:59:47:316,,,
0.3618,-2.2523,-5.1784,49.277264,7.033313,2019-05-29 11:59:47:416,,,
4.4628,3.6201,1.4146,49.277264,7.033313,2019-05-29 11:59:47:515,,,
7.15,5.1719,3.8175,49.277264,7.033313,2019-05-29 11:59:47:616,,,
-1.396,-0.3934,4.3538,49.277264,7.033313,2019-05-29 11:59:47:715,,,
-1.9908,-2.9186,1.0794,49.277264,7.033313,2019-05-29 11:59:47:816,,,
-2.3189,-3.1624,0.1302,49.277264,7.033313,2019-05-29 11:59:47:915,,,
-2.7619,-1.5925,-0.4292,49.277264,7.033313,2019-05-29 11:59:48:016,,,
-4.6348,-1.7421,4.4279,49.277264,7.033313,2019-05-29 11:59:48:115,,,
-5.6703,-0.4662,4.8625,49.277264,7.033313,2019-05-29 11:59:48:216,,,
-3.3258,-0.7541,-2.2039,49.277264,7.033313,2019-05-29 11:59:48:315,,,
0.9955,-0.6915,-3.6231,49.277264,7.033313,2019-05-29 11:59:48:416,,,
1.3325,3.9147,0.4846,49.277264,7.033313,2019-05-29 11:59:48:516,,,
-0.5765,-0.5531,4.4393,49.277264,7.033313,2019-05-29 11:59:48:616,,,
